species,method,proteome_total_missing,proteome_missing_FNs,proteome_missing_ORFwrong,fn_and_wrong,missing_both_methods,missing_other
dmel,stiehisat,164,41,73,9,26,15
dmel,stiestar,166,48,65,10,30,13
dmel,scalhisat,138,45,24,18,43,8
dmel,scalstar,146,56,28,12,41,9
chicken,stiehisat,1319,58,135,16,1080,30
chicken,stiestar,1343,50,149,20,1089,35
chicken,scalhisat,930,59,122,8,734,7
chicken,scalstar,901,64,118,12,698,9
athaliana,stiehisat,45,10,26,2,5,2
athaliana,stiestar,44,10,24,4,4,2
athaliana,scalhisat,33,8,7,1,16,1
athaliana,scalstar,32,9,6,1,14,2
zmays,stiehisat,4,0,2,1,1,0
zmays,stiestar,5,1,2,1,1,0
zmays,scalhisat,6,1,3,1,1,0
zmays,scalstar,7,2,2,2,1,0
human,stiehisat,1928,80,165,17,1624,42
human,stiestar,1849,74,142,12,1570,51
human,scalhisat,1778,105,272,31,1356,14
human,scalstar,1678,100,229,28,1301,20
