SRA_runid	Species
ERR2018557	Bombyx_mori
ERR2018558	Bombyx_mori
ERR2018559	Bombyx_mori
ERR2018560	Bombyx_mori
ERR2018561	Bombyx_mori
ERR2018562	Bombyx_mori
ERR2018563	Bombyx_mori
ERR2018564	Bombyx_mori
ERR2018565	Bombyx_mori
ERR2018566	Bombyx_mori
ERR2018567	Bombyx_mori
ERR2018568	Bombyx_mori
SRR10083170	Bombyx_mori
SRR10083171	Bombyx_mori
SRR10083172	Bombyx_mori
SRR10097430	Bombyx_mori
SRR10097431	Bombyx_mori
SRR10097432	Bombyx_mori
SRR10143167	Bombyx_mori
SRR10143168	Bombyx_mori
SRR10143169	Bombyx_mori
SRR10143170	Bombyx_mori
SRR10143171	Bombyx_mori
SRR10143172	Bombyx_mori
SRR12489833	Bombyx_mori
SRR12489834	Bombyx_mori
SRR12489835	Bombyx_mori
SRR1735280	Bombyx_mori
SRR1735281	Bombyx_mori
SRR1805030	Bombyx_mori
SRR1806712	Bombyx_mori
SRR1806713	Bombyx_mori
SRR1806715	Bombyx_mori
SRR1806736	Bombyx_mori
SRR1928169	Bombyx_mori
SRR5184094	Bombyx_mori
SRR5184095	Bombyx_mori
SRR5184096	Bombyx_mori
SRR5184097	Bombyx_mori
SRR5184098	Bombyx_mori
SRR5184099	Bombyx_mori
SRR5184100	Bombyx_mori
SRR5184101	Bombyx_mori
SRR5184102	Bombyx_mori
SRR5184103	Bombyx_mori
SRR5184104	Bombyx_mori
SRR5184105	Bombyx_mori
SRR5184106	Bombyx_mori
SRR5184107	Bombyx_mori
SRR5184108	Bombyx_mori
SRR5184109	Bombyx_mori
SRR6185423	Bombyx_mori
SRR6185424	Bombyx_mori
SRR6185425	Bombyx_mori
SRR6185426	Bombyx_mori
SRR6185427	Bombyx_mori
SRR6185428	Bombyx_mori
SRR6185429	Bombyx_mori
SRR6185430	Bombyx_mori
SRR6185431	Bombyx_mori
SRR6516052	Bombyx_mori
SRR6516053	Bombyx_mori
SRR6516054	Bombyx_mori
SRR6516055	Bombyx_mori
SRR6516056	Bombyx_mori
SRR6516057	Bombyx_mori
SRR6516058	Bombyx_mori
SRR6516059	Bombyx_mori
SRR6516060	Bombyx_mori
SRR6516061	Bombyx_mori
SRR6516062	Bombyx_mori
SRR6516063	Bombyx_mori
SRR6516064	Bombyx_mori
SRR6516065	Bombyx_mori
SRR6516066	Bombyx_mori
SRR6516067	Bombyx_mori
SRR8039867	Bombyx_mori
SRR8039868	Bombyx_mori
SRR8039869	Bombyx_mori
SRR8039870	Bombyx_mori
SRR8039871	Bombyx_mori
SRR8039872	Bombyx_mori
SRR8282130	Bombyx_mori
SRR8282131	Bombyx_mori
SRR8282132	Bombyx_mori
SRR8282133	Bombyx_mori
SRR8282134	Bombyx_mori
SRR8282135	Bombyx_mori
SRR8282136	Bombyx_mori
SRR8282137	Bombyx_mori
SRR8282138	Bombyx_mori
SRR10100549	Danaus_plexippus
SRR10100550	Danaus_plexippus
SRR10100551	Danaus_plexippus
SRR585568	Danaus_plexippus
SRR8580831	Danaus_plexippus
SRR8580832	Danaus_plexippus
SRR8580833	Danaus_plexippus
SRR8580834	Danaus_plexippus
SRR8580835	Danaus_plexippus
SRR8580836	Danaus_plexippus
SRR8580837	Danaus_plexippus
SRR8580838	Danaus_plexippus
SRR8580839	Danaus_plexippus
SRR8580840	Danaus_plexippus
SRR8580841	Danaus_plexippus
SRR8580842	Danaus_plexippus
SRR8580843	Danaus_plexippus
SRR8580844	Danaus_plexippus
SRR8580845	Danaus_plexippus
SRR9620097	Heliconius_erato
SRR9620098	Heliconius_erato
SRR9620099	Heliconius_erato
SRR9620100	Heliconius_erato
SRR9620105	Heliconius_erato
SRR9620106	Heliconius_erato
SRR9620107	Heliconius_erato
SRR9620108	Heliconius_erato
SRR9620109	Heliconius_erato
SRR9620122	Heliconius_erato
SRR9620123	Heliconius_erato
SRR9620124	Heliconius_erato
SRR9620125	Heliconius_erato
SRR9620126	Heliconius_erato
SRR9620132	Heliconius_erato
SRR9620134	Heliconius_erato
SRR9620135	Heliconius_erato
SRR9620136	Heliconius_erato
SRR9620137	Heliconius_erato
SRR9620138	Heliconius_erato
SRR9620139	Heliconius_erato
SRR9620152	Heliconius_erato
SRR9620153	Heliconius_erato
SRR9620154	Heliconius_erato
SRR9620155	Heliconius_erato
SRR9620156	Heliconius_erato
SRR9620173	Heliconius_erato
SRR9620174	Heliconius_erato
SRR9620175	Heliconius_erato
